 (VTI) , , ,  
Holding details,2024-01-31
 
Stocks holdings 
 ,SEDOL,Ticker,Holdings name,Shares,Market value*,% of fund*,Sector,Market,Security depository receipt type
,"B2PKRQ3","PM","Philip Morris International Inc.",48805049,$4433938701.65,0.2996846416,"Tobacco","US",---
,"2046552","AMAT","Applied Materials Inc.",26290807,$4319579590.1,0.2919552453,"Semiconductor Materials & Equipment","US",---
,"2020459","HON","Honeywell International Inc.",20723426,$4191520142.76,0.2832998596,"Industrial Conglomerates","US",---
,"2871301","ISRG","Intuitive Surgical Inc.",11072571,$4187867803.62,0.2830530023,"Health Care Equipment","US",---
,"2685717","COP","ConocoPhillips",37328794,$4175972184.78,0.2822489916,"Oil & Gas Exploration & Production","US",---
,"BM5M5Y3","RTX","RTX Corp.",45209256,$4119467406.72,0.2784299009,"Aerospace & Defense","US",---
,"2108601","BA","Boeing Co.",19020818,$4014153430.72,0.2713118545,"Aerospace & Defense","US",---
,"BK6N347","UBER","Uber Technologies Inc.",61450000,$4010841500,0.2710880051,"Passenger Ground Transportation","US",---
,"2831811","T","AT&T Inc.",224955434,$3979461627.46,0.2689670768,"Integrated Telecommunication Services","US",---
,"2640147","NKE","NIKE Inc. Class B",38473575,$3906222069.75,0.2640169022,"Footwear","US",---
,"2536763","LOW","Lowe's Cos. Inc.",18063810,$3844701320.4,0.259858788,"Home Improvement Retail","US",---
,"BDRXDB4","BKNG","Booking Holdings Inc.",1096129,$3844639583.63,0.2598546153,"Hotels, Resorts & Cruise Lines","US",---
,"2328915","NEE","NextEra Energy Inc.",63627873,$3730502193.99,0.2521402049,"Electric Utilities","US",---
,"B44WZD7","PLD","Prologis Inc.",29044430,$3679638836.7,0.2487024111,"Industrial REITs","US",---
,"BTN1Y11","MDT","Medtronic plc",41821418,$3661046931.72,0.2474458064,"Health Care Equipment","IE",---
,"BSPHGL4","ELV","Elevance Health Inc.",7386791,$3644938151.04,0.246357033,"Managed Health Care","US",---
,"2407966","GS","Goldman Sachs Group Inc.",9394537,$3607596153.37,0.2438331318,"Investment Banking & Brokerage","US",---
,"2853688","SYK","Stryker Corp.",10753197,$3607482529.56,0.2438254521,"Health Care Equipment","US",---
,"2931034","VRTX","Vertex Pharmaceuticals Inc.",8102574,$3511493520.12,0.2373376692,"Biotechnology","US",---
,"2026082","AXP","American Express Co.",17177923,$3448296263.02,0.2330662418,"Consumer Finance","US",---
,"2502247","LRCX","Lam Research Corp.",4141959,$3417820308.03,0.2310064082,"Semiconductor Materials & Equipment","US",---
,"2989301","TJX","TJX Cos. Inc.",35936623,$3410744888.93,0.2305281891,"Apparel Retail","US",---
,"2262314","MS","Morgan Stanley",38688302,$3375167466.48,0.2281235534,"Investment Banking & Brokerage","US",---
,"B87ZMX0","PANW","Palo Alto Networks Inc.",9911545,$3355157097.95,0.2267710764,"Systems Software","US",---
,"2522096","LMT","Lockheed Martin Corp.",7791776,$3345866532.16,0.2261431381,"Aerospace & Defense","US",---
,"2842255","SBUX","Starbucks Corp.",35715799,$3322640780.97,0.2245733373,"Restaurants","US",---
,"2705024","PGR","Progressive Corp.",18400512,$3279891264,0.2216839483,"Property & Casualty Insurance","US",---
,"2494504","BLK","BlackRock Inc.",4206156,$3256868652.36,0.2201278773,"Asset Management & Custody Banks","US",---
,"2517382","UPS","United Parcel Service Inc. Class B",22710326,$3222595259.4,0.2178113795,"Air Freight & Logistics","US",---
,"B8CKK03","MDLZ","Mondelez International Inc. Class A",42785095,$3220434100.65,0.2176653093,"Packaged Foods & Meats","US",---
,"2261203","DE","Deere & Co.",8149826,$3207608517.08,0.2167984434,"Agricultural & Farm Machinery","US",---
,"2065308","ADP","Automatic Data Processing Inc.",12918888,$3175204292.64,0.2146082804,"Human Resource & Employment Services","US",---
,"2297907","C","Citigroup Inc.",56418911,$3169050230.87,0.2141923347,"Diversified Banks","US",---
,"B3BQMF6","CB","Chubb Ltd.",12819773,$3140844385,0.2122859351,"Property & Casualty Insurance","CH",---
,"2126335","BMY","Bristol-Myers Squibb Co.",63960574,$3125753251.38,0.2112659434,"Pharmaceuticals","US",---
,"B8KQN82","ETN","Eaton Corp. plc",12558644,$3090431115.52,0.2088785622,"Electrical Components & Equipment","IE",---
,"2369174","GILD","Gilead Sciences Inc.",39192687,$3067219684.62,0.2073097292,"Biotechnology","US",---
,"2730190","REGN","Regeneron Pharmaceuticals Inc.",3200352,$3017227858.56,0.2039308412,"Biotechnology","US",---
,"2577609","CVS","CVS Health Corp.",40454430,$3008595959.1,0.2033474214,"Health Care Services","US",---
,"2567741","MMC","Marsh & McLennan Cos. Inc.",15491929,$3002955517.36,0.2029661906,"Insurance Brokers","US",---
,"2032067","ADI","Analog Devices Inc.",15592690,$2999409848.4,0.2027265431,"Semiconductors","US",---
,"2588184","MU","Micron Technology Inc.",34516824,$2959817658,0.200050554,"Semiconductors","US",---
,"2113434","BSX","Boston Scientific Corp.",46075861,$2914758966.86,0.1970050907,"Health Care Equipment","US",---
,"B7FBFL2","AMT","American Tower Corp.",14654895,$2867230206.75,0.1937926784,"Telecom Tower REITs","US",---
,"2779397","SCHW","Charles Schwab Corp.",44561023,$2803779567.16,0.1895041251,"Investment Banking & Brokerage","US",---
,"BKF2SL7","BX","Blackstone Group LP Class A",22342587,$2780534952.15,0.1879330492,"Asset Management & Custody Banks","US",---
,"BHJ0775","CI","Cigna Group",9200583,$2768915453.85,0.1871477012,"Health Care Services","US",---
,"2342034","FI","Fiserv Inc.",18861603,$2675895617.61,0.1808606011,"Transaction & Payment Processing Service","US",---
,"B94Q9V0","TMUS","T-Mobile US Inc.",16339433,$2634406782.59,0.1780564201,"Wireless Telecommunication Services","US",---
,"2867719","SNPS","Synopsys Inc.",4779571,$2549184192.85,0.1722963267,"Application Software","US",---
,"2480138","KLAC","KLA Corp.",4271133,$2537223847.32,0.1714879411,"Semiconductor Materials & Equipment","US",---
,"2302232","CDNS","Cadence Design Systems Inc.",8550606,$2466507806.76,0.1667083281,"Application Software","US",---
,"BVLZX12","EQIX","Equinix Inc.",2949749,$2447613227.73,0.165431266,"Data Center REITs","US",---
,"B95WG16","ZTS","Zoetis Inc.",12991521,$2439937559.01,0.1649124767,"Pharmaceuticals","US",---
,"2829601","SO","Southern Co.",34310690,$2385279168.8,0.1612181811,"Electric Utilities","US",---
,"2937667","WM","Waste Management Inc.",12654715,$2349094745.45,0.158772519,"Environmental & Facilities Services","US",---
,"2457552","ITW","Illinois Tool Works Inc.",8970649,$2340442324.1,0.1581877121,"Industrial Machinery & Supplies & Compon","US",---
,"2965839","CME","CME Group Inc.",11315902,$2329265267.68,0.1574322682,"Financial Exchanges & Data","US",---
,"B7VD3F2","DUK","Duke Energy Corp.",24235156,$2322454999.48,0.1569719702,"Electric Utilities","US",---
,"BFSSDS9","ICE","Intercontinental Exchange Inc.",17988040,$2290417133.2,0.154806569,"Financial Exchanges & Data","US",---
,"2692632","MO","Altria Group Inc.",55465022,$2225256682.64,0.1504024516,"Tobacco","US",---
,"2160753","CSX","CSX Corp.",62097384,$2216876608.8,0.1498360524,"Rail Transportation","US",---
,"2804211","SHW","Sherwin-Williams Co.",7239272,$2203489611.36,0.1489312412,"Specialty Chemicals","US",---
,"2087807","BDX","Becton Dickinson & Co.",9130252,$2180395480.12,0.1473703363,"Health Care Equipment","US",---
,"2779201","SLB","Schlumberger Ltd.",44766750,$2180140725,0.1473531177,"Oil & Gas Equipment & Services","CW",---
,"2209106","CL","Colgate-Palmolive Co.",25857560,$2177206552,0.1471548005,"Household Products","US",---
,"2378534","MCK","McKesson Corp.",4181140,$2090110074.6,0.1412680532,"Health Care Distributors","US",---
,"2318024","EOG","EOG Resources Inc.",18339780,$2086883566.2,0.1410499773,"Oil & Gas Exploration & Production","US",---
,"BYW36M8","PYPL","PayPal Holdings Inc.",33905033,$2080073774.55,0.1405897116,"Transaction & Payment Processing Service","US",---
,"BJJP138","CRWD","Crowdstrike Holdings Inc. Class A",7108239,$2079159907.5,0.1405279444,"Systems Software","US",---
,"B0X7DZ3","CMG","Chipotle Mexican Grill Inc. Class A",862569,$2077730330.13,0.140431321,"Restaurants","US",---
,"2365161","GD","General Dynamics Corp.",7723326,$2046604156.74,0.13832754,"Aerospace & Defense","US",---
,"2736035","USB","US Bancorp",48943387,$2033108295.98,0.1374153708,"Diversified Banks","US",---
,"BN33VM5","ANET","Arista Networks Inc.",7824383,$2024011394.44,0.136800522,"Communications Equipment","US",---
,"2259101","TGT","Target Corp.",14522941,$2019850634.28,0.1365193012,"Consumer Staples Merchandise Retail","US",---
,"B78C4Y8","PSX","Phillips 66",13829140,$1995683193.4,0.1348858526,"Oil & Gas Refining & Marketing","US",---
,"B3K3L40","MPC","Marathon Petroleum Corp.",11938620,$1977035472,0.1336254753,"Oil & Gas Refining & Marketing","US",---
,"B4MGBG6","HCA","HCA Healthcare Inc.",6314228,$1925208117.2,0.1301225261,"Health Care Facilities","US",---
,"2252058","MCO","Moody's Corp.",4886011,$1915511752.44,0.1294671603,"Financial Exchanges & Data","US",---
,"2648806","NOC","Northrop Grumman Corp.",4269212,$1907313153.12,0.1289130268,"Aerospace & Defense","US",---
,"B65LWX6","ORLY","O'Reilly Automotive Inc.",1859240,$1902095482,0.1285603706,"Automotive Retail","US",---
,"2145084","APH","Amphenol Corp. Class A",18786145,$1899279259.5,0.1283700254,"Electronic Components","US",---
,"B8K6ZD1","WDAY","Workday Inc. Class A",6504924,$1893388228.68,0.1279718577,"Application Software","US",---
,"2692665","PNC","PNC Financial Services Group Inc.",12520675,$1893251266.75,0.1279626006,"Diversified Banks","US",---
,"2210614","MAR","Marriott International Inc./MD Class A",7844306,$1880515477.38,0.1271018037,"Hotels, Resorts & Cruise Lines","US",---
,"2671501","PH","Parker-Hannifin Corp.",4041074,$1877078873,0.1268695277,"Industrial Machinery & Supplies & Compon","US",---
,"BNKJSM5","MRVL","Marvell Technology Inc.",27132156,$1836846961.2,0.1241503007,"Semiconductors","US",---
,"BN134B7","SNOW","Snowflake Inc. Class A",9330414,$1825402194.96,0.1233767625,"Internet Services & Infrastructure","US",---
,"BG1FRR1","KKR","KKR & Co. Inc.",20885306,$1808249793.48,0.1222174521,"Asset Management & Custody Banks","US",---
,"B11FJK3","TDG","TransDigm Group Inc.",1653244,$1806466653.92,0.1220969319,"Aerospace & Defense","US",---
,"BK9ZQ96","TT","Trane Technologies plc",7152677,$1802832237.85,0.121851286,"Building Products","IE",---
,"2749602","ROP","Roper Technologies Inc.",3354120,$1801162440,0.1217384264,"Application Software","US",---
,"2352118","FCX","Freeport-McMoRan Inc.",45119843,$1790806568.67,0.1210384853,"Copper","US",---
,"2011602","APD","Air Products & Chemicals Inc.",6988642,$1787065645.82,0.1207856408,"Industrial Gases","US",---
,"BLP1HW5","AON","Aon plc Class A",5980569,$1784781206.67,0.1206312383,"Insurance Brokers","IE",---
,"2142784","FDX","FedEx Corp.",7106846,$1714810871.34,0.1159020266,"Air Freight & Logistics","US",---
,"2065159","ADSK","Autodesk Inc.",6719636,$1705510813.16,0.1152734467,"Application Software","US",---
,"2690830","PXD","Pioneer Natural Resources Co.",7330397,$1684745142.51,0.1138699197,"Oil & Gas Exploration & Production","US",---
,"BMGYYH4","ABNB","Airbnb Inc. Class A",11618698,$1674719129.72,0.1131922734,"Hotels, Resorts & Cruise Lines","US",---
,"2641894","NSC","Norfolk Southern Corp.",7112236,$1673082396.64,0.1130816486,"Rail Transportation","US",---
,"B665KZ5","GM","General Motors Co.",43021063,$1669217244.4,0.1128204076,"Automobile Manufacturers","US",---
,"B5BKPQ4","MSI","Motorola Solutions Inc.",5211715,$1665142942.5,0.1125450303,"Communications Equipment","US",---
,"2665861","PCAR","PACCAR Inc.",16439079,$1650319140.81,0.1115431072,"Construction Machinery & Heavy Transport","US",---
,"2197137","CTAS","Cintas Corp.",2721709,$1645463610.13,0.1112149277,"Diversified Support Services","US",---
,"B23FN39","LULU","Lululemon Athletica Inc.",3624274,$1644768026.68,0.111167914,"Apparel, Accessories & Luxury Goods","US",---
,"2313405","EMR","Emerson Electric Co.",17923058,$1644082110.34,0.1111215538,"Electrical Components & Equipment","US",---
,"2595708","MMM","3M Co.",17361804,$1638086207.4,0.1107162978,"Industrial Conglomerates","US",---
,"2304227","ECL","Ecolab Inc.",8063673,$1598381262.06,0.1080326878,"Specialty Chemicals","US",---
,"2359506","AJG","Arthur J Gallagher & Co.",6798519,$1578344171.04,0.1066784046,"Insurance Brokers","US",---
,"BKP7287","TFC","Truist Financial Corp.",41946017,$1554519390.02,0.105068116,"Regional Banks","US",---
,"2026361","AFL","Aflac Inc.",18358920,$1548391312.8,0.1046539266,"Life & Health Insurance","US",---
,"2654461","COF","Capital One Financial Corp.",11370314,$1538630890.48,0.1039942313,"Consumer Finance","US",---
,"BYVMW06","HLT","Hilton Worldwide Holdings Inc.",8055778,$1538331366.88,0.1039739868,"Hotels, Resorts & Cruise Lines","US",---
,"2027342","AIG","American International Group Inc.",22057911,$1533245393.61,0.1036302319,"Multi-line Insurance","US",---
,"2065955","AZO","AutoZone Inc.",554397,$1531316585.61,0.1034998661,"Automotive Retail","US",---
,"2769503","TRV","Travelers Cos. Inc.",7179850,$1517533096,0.1025682564,"Property & Casualty Insurance","US",---
,"BYVYHH4","WELL","Welltower Inc.",17484034,$1512543781.34,0.1022310346,"Health Care REITs","US",---
,"2567116","EW","Edwards Lifesciences Corp.",19080715,$1497263706.05,0.1011982725,"Health Care Equipment","US",---
,"2746711","ROST","Ross Stores Inc.",10641816,$1492833948.48,0.1008988704,"Apparel Retail","US",---
,"2041364","VLO","Valero Energy Corp.",10700396,$1486285004.4,0.1004562351,"Oil & Gas Refining & Marketing","US",---
,"BTGQCX1","CCI","Crown Castle Inc.",13628373,$1475271377.25,0.0997118371,"Telecom Tower REITs","US",---
,"B0796X4","DXCM","Dexcom Inc.",12146948,$1474032139.8,0.0996280786,"Health Care Equipment","US",---
,"2445063","HUM","Humana Inc.",3873171,$1464291028.26,0.0989696884,"Managed Health Care","US",---
,"2592174","MCHP","Microchip Technology Inc.",16999988,$1448058977.84,0.0978725834,"Semiconductors","US",---
,"2615468","F","Ford Motor Co.",123512626,$1447567976.72,0.0978393973,"Automobile Manufacturers","US",---
,"BK4N0D7","CARR","Carrier Global Corp.",26415839,$1445210551.69,0.0976800617,"Building Products","US",---
,"2651086","NUE","Nucor Corp.",7729320,$1444841787.6,0.0976551374,"Steel","US",---
,"2724193","O","Realty Income Corp.",26121906,$1420770467.34,0.0960281855,"Retail REITs","US",---
,"2138158","SRE","Sempra",19772035,$1414886824.6,0.0956305171,"Multi-Utilities","US",---
,"B2972D2","MSCI","MSCI Inc. Class A",2360730,$1413180192.6,0.0955151678,"Financial Exchanges & Data","US",---
,"2852533","PSA","Public Storage",4973411,$1408420261.09,0.0951934497,"Self-Storage REITs","US",---
,"B62B7C3","TEL","TE Connectivity Ltd.",9768422,$1388971924.18,0.0938789598,"Electronic Manufacturing Services","CH",---
,"2689560","PCG","PG&E Corp.",80006689,$1349712843.43,0.0912254852,"Electric Utilities","US",---
,"2812452","SPG","Simon Property Group Inc.",9733073,$1349101248.53,0.0911841483,"Retail REITs","US",---
,"2459202","IDXX","IDEXX Laboratories Inc.",2612126,$1345453860.08,0.0909376256,"Health Care Equipment","US",---
,"B1Z77F6","BK","Bank of New York Mellon Corp.",24149145,$1339311581.7,0.0905224763,"Asset Management & Custody Banks","US",---
,"B03GQS4","DLR","Digital Realty Trust Inc.",9515239,$1336510469.94,0.0903331525,"Data Center REITs","US",---
,"2134781","URI","United Rentals Inc.",2132377,$1333588575.8,0.0901356652,"Trading Companies & Distributors","US",---
,"2967181","WMB","Williams Cos. Inc.",38235941,$1325257715.06,0.0895725922,"Oil & Gas Storage & Transportation","US",---
,"B5B2106","FTNT","Fortinet Inc.",20508327,$1322582008.23,0.0893917444,"Systems Software","US",---
,"2208073","CPRT","Copart Inc.",27200141,$1306694773.64,0.0883179451,"Diversified Support Services","US",---
,"2491839","KMB","Kimberly-Clark Corp.",10599468,$1282217643.96,0.086663565,"Household Products","US",---
,"2868165","SYY","Sysco Corp.",15819652,$1280284436.36,0.0865329018,"Food Distributors","US",---
,"2019952","ALL","Allstate Corp.",8227007,$1277242836.75,0.0863273237,"Property & Casualty Insurance","US",---
,"2250687","DHI","DR Horton Inc.",8896312,$1271371947.92,0.0859305173,"Homebuilding","US",---
,"2026242","AEP","American Electric Power Co. Inc.",16211787,$1266789036.18,0.0856207638,"Electric Utilities","US",---
,"2807061","CNC","Centene Corp.",16804678,$1265560300.18,0.0855377149,"Managed Health Care","US",---
,"BZ07BW4","MNST","Monster Beverage Corp.",22949869,$1262701792.38,0.0853445118,"Soft Drinks & Non-alcoholic Beverages","US",---
,"BYVG1F6","WCN","Waste Connections Inc.",8099021,$1257454000.46,0.0849898198,"Environmental & Facilities Services","CA",---
,"2380863","GWW","WW Grainger Inc.",1403297,$1256848925.08,0.0849489235,"Trading Companies & Distributors","US",---
,"BN44JF6","APO","Apollo Global Management LLC",12501985,$1255199294,0.0848374269,"Diversified Financial Services","US",---
,"2636607","NEM","Newmont Corp.",36247907,$1250915270.57,0.0845478748,"Gold","US",---
,"2130109","OKE","ONEOK Inc.",18297795,$1248824508.75,0.0844065627,"Oil & Gas Storage & Transportation","US",---
,"BK9DTN5","LHX","L3Harris Technologies Inc.",5968387,$1243931218.54,0.0840758311,"Aerospace & Defense","US",---
,"2674458","PAYX","Paychex Inc.",10218020,$1243839574.6,0.0840696369,"Human Resource & Employment Services","US",---
,"2795393","COR","Cencora Inc.",5313745,$1236402186.6,0.0835669527,"Health Care Distributors","US",---
,"B0J7D57","AMP","Ameriprise Financial Inc.",3174641,$1228046378.03,0.0830021936,"Asset Management & Custody Banks","US",---
,"BMH4FS1","CEG","Constellation Energy Corp.",10048809,$1225954698,0.0828608194,"Electric Utilities","US",---
,"2332262","FAST","Fastenal Co.",17949421,$1224688994.83,0.082775272,"Trading Companies & Distributors","US",---
,"2023748","HES","Hess Corp.",8678263,$1219556299.39,0.0824283593,"Oil & Gas Exploration & Production","US",---
,"BQ1PC76","TEAM","Atlassian Corp. Class A",4876471,$1217996161.67,0.0823229114,"Application Software","US",---
,"2257019","CTSH","Cognizant Technology Solutions Corp. Class A",15742860,$1214089363.2,0.0820588556,"IT Consulting & Other Services","US",---
,"2573209","MET","MetLife Inc.",17461455,$1210428060.6,0.0818113925,"Life & Health Insurance","US",---
,"2656423","ODFL","Old Dominion Freight Line Inc.",3088193,$1207545226.86,0.0816165452,"Cargo Ground Transportation","US",---
,"2170473","STZ","Constellation Brands Inc. Class A",4913006,$1204079510.48,0.0813823015,"Distillers & Vintners","US",---
,"BKB0C57","FERG","Ferguson plc",6403682,$1202995700.52,0.0813090481,"Trading Companies & Distributors","JE",---
,"2542049","D","Dominion Energy Inc.",26307187,$1202764589.64,0.0812934276,"Multi-Utilities","US",---
,"2520153","A","Agilent Technologies Inc.",9192523,$1195947242.3,0.0808326512,"Life Sciences Tools & Services","US",---
,"BDR73G1","IQV","IQVIA Holdings Inc.",5737697,$1194760646.31,0.0807524506,"Life Sciences Tools & Services","US",---
,"2655408","OXY","Occidental Petroleum Corp.",20744704,$1194272609.28,0.0807194647,"Integrated Oil & Gas","US",---
,"2819118","PRU","Prudential Financial Inc.",11344567,$1190385415.31,0.0804567339,"Life & Health Insurance","US",---
,"2367026","GIS","General Mills Inc.",18283208,$1186763031.28,0.0802119013,"Packaged Foods & Meats","US",---
,"BHXCF84","DOW","Dow Inc.",22066235,$1182750196,0.0799406785,"Commodity Chemicals","US",---
,"2089212","AME","AMETEK Inc.",7253505,$1175430485.25,0.079445948,"Electrical Components & Equipment","US",---
,"2654364","LNG","Cheniere Energy Inc.",7103098,$1164837041.02,0.0787299497,"Oil & Gas Storage & Transportation","US",---
,"2310194","EA","Electronic Arts Inc.",8444354,$1161774223.32,0.0785229375,"Interactive Home Entertainment","US",---
,"2769796","FIS","Fidelity National Information Services Inc.",18606543,$1158443367.18,0.0782978089,"Transaction & Payment Processing Service","US",---
,"BK531S8","OTIS","Otis Worldwide Corp.",12840480,$1135612051.2,0.0767546674,"Industrial Machinery & Supplies & Compon","US",---
,"BYNZGK1","SQ","Block Inc.",17421645,$1132581141.45,0.0765498118,"Transaction & Payment Processing Service","US",---
,"BY7QL61","JCI","Johnson Controls International plc",21370130,$1125992149.7,0.0761044697,"Building Products","IE",---
,"2455965","BIIB","Biogen Inc.",4564918,$1125982673.88,0.0761038292,"Biotechnology","US",---
,"BQ84ZQ6","KVUE","Kenvue Inc.",54191921,$1125024279.96,0.0760390525,"Personal Care Products","US",---
,"BZ6VT82","CHTR","Charter Communications Inc. Class A",3023075,$1120684133.25,0.0757457072,"Cable & Satellite","US",---
,"2098876","YUM","Yum! Brands Inc.",8623957,$1116716191.93,0.0754775188,"Restaurants","US",---
,"B4P9W92","VRSK","Verisk Analytics Inc. Class A",4554416,$1100028096.48,0.0743495902,"Research & Consulting Services","US",---
,"2262530","RSG","Republic Services Inc. Class A",6425406,$1099515474.72,0.0743149427,"Environmental & Facilities Services","US",---
,"BGSXTS3","MRNA","Moderna Inc.",10805778,$1091923866.9,0.073801835,"Biotechnology","US",---
,"2670519","EXC","Exelon Corp.",31240910,$1087496077.1,0.073502566,"Electric Utilities","US",---
,"2511920","LEN","Lennar Corp. Class A",7199288,$1078813306.8,0.0729157078,"Homebuilding","US",---
