 () , , ,  
Holding details,2024-04-30
 
Stocks holdings 
 ,SEDOL,Ticker,Holdings name,Shares,Market value,% of fund*,Sector,Market,Security depository receipt type
,"B0BV2M7","BLDR","Builders FirstSource Inc",2084131,$381020829.42,0.72558,"Building Products","US","Common Stock"
,"B5367T7","BAH","Booz Allen Hamilton Holding Corp",2217374,$327439618.58,0.62354,"Professional Services","US","Common Stock"
,"2176318","CSL","Carlisle Cos Inc",816153,$316871402.25,0.60342,"Building Products","US","Common Stock"
,"2355582","FCNCA","First Citizens BancShares Inc/NC",184803,$311718308.28,0.5936,"Banks","US","Common Stock"
,"2474164","EME","EMCOR Group Inc",804083,$287194325.11,0.5469,"Construction & Engineering","US","Common Stock"
,"2456612","IEX","IDEX Corp",1292764,$285002751.44,0.54273,"Machinery","US","Common Stock"
,"2315359","ATO","Atmos Energy Corp",2390345,$281821675.5,0.53667,"Gas Utilities","US","Common Stock"
,"2212922","NRG","NRG Energy Inc",3858547,$280400610.49,0.53397,"Electric Utilities","US","Common Stock"
,"2729068","RS","Reliance Inc",978766,$278674255.52,0.53068,"Metals & Mining","US","Common Stock"
,"B1FW7Q2","OC","Owens Corning",1487274,$250174359.54,0.47641,"Building Products","US","Common Stock"
,"2967589","WSM","Williams-Sonoma Inc",871399,$249899805.22,0.47588,"Specialty Retail","US","Common Stock"
,"BQ6BPG9","BG","Bunge Global SA",2451462,$249460773.12,0.47505,"Food Products","US","Common Stock"
,"2471789","JBL","Jabil Inc",2070867,$243036951.12,0.46281,"Electronic Equipment, Instruments & Components","US","Common Stock"
,"BJ01KB6","OVV","Ovintiv Inc",4664551,$239384757.32,0.45586,"Oil, Gas & Consumable Fuels","US","Common Stock"
,"2756174","RPM","RPM International Inc",2202450,$235463929.5,0.44839,"Chemicals","US","Common Stock"
,"BLS09M3","PNR","Pentair PLC",2825777,$223490702.93,0.42559,"Machinery","US","Common Stock"
,"B1VZ431","ACM","AECOM",2324745,$214713448.2,0.40888,"Construction & Engineering","US","Common Stock"
,"2491594","KIM","Kimco Realty Corp",11482579,$213920446.77,0.40737,"Retail REITs","US","REIT"
,"2896092","TOL","Toll Brothers Inc",1783259,$212403979.49,0.40448,"Household Durables","US","Common Stock"
,"BYR0914","WRK","Westrock Co",4392033,$210641902.68,0.40112,"Containers & Packaging","US","Common Stock"
,"BKRMR96","EQH","Equitable Holdings Inc",5705984,$210607869.44,0.40106,"Financial Services","US","Common Stock"
,"2731193","RGA","Reinsurance Group of America Inc",1121639,$209735276.61,0.3994,"Insurance","US","Common Stock"
