 (VTV) , , ,  
Holding details,2024-04-30
 
Stocks holdings 
 ,SEDOL,Ticker,Holdings name,Shares,Market value*,% of fund*,Sector,Market,Security depository receipt type
,"2032067","ADI","Analog Devices Inc",4122109,$826936286.49,0.50597,"Semiconductors & Semiconductor Equipment","US","Common Stock"
,"2567741","MMC","Marsh & McLennan Cos Inc",4086705,$815011578.15,0.49868,"Insurance","US","Common Stock"
,"B8CKK03","MDLZ","Mondelez International Inc",11193786,$805280964.84,0.49272,"Food Products","US","Common Stock"
,"B44WZD7","PLD","Prologis Inc",7688150,$784575707.5,0.48005,"Industrial REITs","US","REIT"
,"2730190","REGN","Regeneron Pharmaceuticals Inc",852446,$759239554.36,0.46455,"Biotechnology","US","Common Stock"
,"2126335","BMY","Bristol-Myers Squibb Co",16808238,$738553977.72,0.4519,"Pharmaceuticals","US","Common Stock"
,"2577609","CVS","CVS Health Corp",10460599,$708287158.29,0.43338,"Health Care Providers & Services","US","Common Stock"
,"BL59CR9","GE","General Electric Co",4316196,$698446836.72,0.42736,"Aerospace & Defense","US","Common Stock"
,"2937667","WM","Waste Management Inc",3337878,$694345381.56,0.42485,"Commercial Services & Supplies","US","Common Stock"
,"2369174","GILD","Gilead Sciences Inc",10357717,$675323148.4,0.41321,"Biotechnology","US","Common Stock"
,"2829601","SO","Southern Co/The",9072949,$666861751.5,0.40803,"Electric Utilities","US","Common Stock"
,"2692632","MO","Altria Group Inc",14656160,$642086369.6,0.39287,"Tobacco","US","Common Stock"
,"2318024","EOG","EOG Resources Inc",4821351,$637045107.63,0.38979,"Oil, Gas & Consumable Fuels","US","Common Stock"
,"B7VD3F2","DUK","Duke Energy Corp",6401180,$628979946.8,0.38485,"Electric Utilities","US","Common Stock"
,"2965839","CME","CME Group Inc",2992280,$627301579.2,0.38382,"Capital Markets","US","Common Stock"
,"2259101","TGT","Target Corp",3837551,$617768959.98,0.37799,"Consumer Staples Distribution & Retail","US","Common Stock"
,"BFSSDS9","ICE","Intercontinental Exchange Inc",4759687,$612857298.12,0.37499,"Capital Markets","US","Common Stock"
,"BYW36M8","PYPL","PayPal Holdings Inc",8904240,$604775980.8,0.37004,"Financial Services","US","Common Stock"
,"BK9ZQ96","TT","Trane Technologies PLC",1888100,$599169654,0.36661,"Building Products","US","Common Stock"
,"2352118","FCX","Freeport-McMoRan Inc",11922652,$595417240.88,0.36432,"Metals & Mining","US","Common Stock"
,"2365161","GD","General Dynamics Corp",2050399,$588649048.91,0.36017,"Aerospace & Defense","US","Common Stock"
,"2378534","MCK","McKesson Corp",1092465,$586883122.65,0.35909,"Health Care Providers & Services","US","Common Stock"
,"2671501","PH","Parker-Hannifin Corp",1067583,$581736652.53,0.35594,"Machinery","US","Common Stock"
,"2457552","ITW","Illinois Tool Works Inc",2359881,$576070550.91,0.35248,"Machinery","US","Common Stock"
,"B3K3L40","MPC","Marathon Petroleum Corp",3156203,$573545209.16,0.35093,"Oil, Gas & Consumable Fuels","US","Common Stock"
,"2087807","BDX","Becton Dickinson & Co",2401760,$563452896,0.34476,"Health Care Equipment & Supplies","US","Common Stock"
,"2648806","NOC","Northrop Grumman Corp",1122506,$544449085.18,0.33313,"Aerospace & Defense","US","Common Stock"
,"2160753","CSX","CSX Corp",16286168,$541026500.96,0.33104,"Ground Transportation","US","Common Stock"
,"BG1FRR1","KKR","KKR & Co Inc",5517322,$513497158.54,0.31419,"Capital Markets","US","Common Stock"
,"2313405","EMR","Emerson Electric Co",4750696,$512030014.88,0.31329,"Electrical Equipment","US","Common Stock"
,"B4MGBG6","HCA","HCA Healthcare Inc",1649166,$510944610.12,0.31263,"Health Care Providers & Services","US","Common Stock"
,"B78C4Y8","PSX","Phillips 66",3556319,$509300443.99,0.31162,"Oil, Gas & Consumable Fuels","US","Common Stock"
,"2692665","PNC","PNC Financial Services Group Inc/The",3307371,$506887679.46,0.31015,"Banks","US","Common Stock"
,"2736035","USB","US Bancorp",12203665,$495834908.95,0.30338,"Banks","US","Common Stock"
,"BMH4FS1","CEG","Constellation Energy Corp",2654886,$493649502.84,0.30205,"Electric Utilities","US","Common Stock"
,"2142784","FDX","FedEx Corp",1869931,$489510537.18,0.29951,"Air Freight & Logistics","US","Common Stock"
,"2665861","PCAR","PACCAR Inc",4355463,$462158178.93,0.28278,"Machinery","US","Common Stock"
,"2595708","MMM","3M Co",4594201,$443386338.51,0.27129,"Industrial Conglomerates","US","Common Stock"
,"2041364","VLO","Valero Energy Corp",2763587,$441814653.69,0.27033,"Oil, Gas & Consumable Fuels","US","Common Stock"
,"2011602","APD","Air Products and Chemicals Inc",1848032,$436763882.88,0.26724,"Chemicals","US","Common Stock"
,"BK4N0D7","CARR","Carrier Global Corp",7095725,$436316130.25,0.26697,"Building Products","US","Common Stock"
,"2641894","NSC","Norfolk Southern Corp",1877829,$432501575.28,0.26463,"Ground Transportation","US","Common Stock"
,"2654461","COF","Capital One Financial Corp",3003727,$430824563.61,0.26361,"Consumer Finance","US","Common Stock"
,"B665KZ5","GM","General Motors Co",9590584,$427068705.52,0.26131,"Automobiles","US","Common Stock"
,"2027342","AIG","American International Group Inc",5659302,$426202033.62,0.26078,"Insurance","US","Common Stock"
,"2359506","AJG","Arthur J Gallagher & Co",1802229,$422965124.01,0.2588,"Insurance","US","Common Stock"
,"BKP7287","TFC","Truist Financial Corp",11088087,$416357666.85,0.25475,"Banks","US","Common Stock"
,"2769503","TRV","Travelers Cos Inc/The",1903944,$403940759.04,0.24716,"Insurance","US","Common Stock"
,"2026361","AFL","Aflac Inc",4796958,$401265536.7,0.24552,"Insurance","US","Common Stock"
,"2615468","F","Ford Motor Co",32441810,$394167991.5,0.24118,"Automobiles","US","Common Stock"
,"2636607","NEM","Newmont Corp",9578984,$389289909.76,0.23819,"Metals & Mining","US","Common Stock"
,"2967181","WMB","Williams Cos Inc/The",10114311,$387984969.96,0.23739,"Oil, Gas & Consumable Fuels","US","Common Stock"
,"2130109","OKE","ONEOK Inc",4844020,$383258862.4,0.2345,"Oil, Gas & Consumable Fuels","US","Common Stock"
,"2491839","KMB","Kimberly-Clark Corp",2801215,$382449883.95,0.23401,"Household Products","US","Common Stock"
,"2138158","SRE","Sempra",5232950,$374836208.5,0.22935,"Multi-Utilities","US","Common Stock"
,"2342034","FI","Fiserv Inc",2447348,$373636619.16,0.22862,"Financial Services","US","Common Stock"
,"2134781","URI","United Rentals Inc",558503,$373074418.97,0.22827,"Trading Companies & Distributors","US","Common Stock"
,"2019952","ALL","Allstate Corp/The",2186666,$371864419.96,0.22753,"Insurance","US","Common Stock"
,"2689560","PCG","PG&E Corp",21700029,$371287496.19,0.22718,"Electric Utilities","US","Common Stock"
,"2026242","AEP","American Electric Power Co Inc",4281184,$368310259.52,0.22536,"Electric Utilities","US","Common Stock"
,"B62B7C3","TEL","TE Connectivity Ltd",2566667,$363132047.16,0.22219,"Electronic Equipment, Instruments & Components","US","Common Stock"
,"2573209","MET","MetLife Inc",5108661,$363123623.88,0.22218,"Insurance","US","Common Stock"
,"2812452","SPG","Simon Property Group Inc",2574174,$361748672.22,0.22134,"Retail REITs","US","REIT"
,"B03GQS4","DLR","Digital Realty Trust Inc",2590279,$359478919.62,0.21995,"Specialized REITs","US","REIT"
,"BY7QL61","JCI","Johnson Controls International plc",5502511,$358048390.77,0.21908,"Building Products","US","Common Stock"
,"B1Z77F6","BK","Bank of New York Mellon Corp/The",6308905,$356390043.45,0.21806,"Capital Markets","US","Common Stock"
,"2542049","D","Dominion Energy Inc",6955503,$354591542.94,0.21696,"Multi-Utilities","US","Common Stock"
,"BKB0C57","FERG","Ferguson PLC",1685605,$353808489.5,0.21648,"Trading Companies & Distributors","US","Common Stock"
,"2250687","DHI","DR Horton Inc",2481333,$353565139.17,0.21633,"Household Durables","US","Common Stock"
,"2170473","STZ","Constellation Brands Inc",1366746,$346415441.16,0.21196,"Beverages","US","Common Stock"
,"2651086","NUE","Nucor Corp",2043738,$344431165.14,0.21075,"Metals & Mining","US","Common Stock"
,"B0J7D57","AMP","Ameriprise Financial Inc",833849,$343370679.71,0.2101,"Capital Markets","US","Common Stock"
,"2655408","OXY","Occidental Petroleum Corp",5116347,$338395190.58,0.20705,"Oil, Gas & Consumable Fuels","US","Common Stock"
,"BK9DTN5","LHX","L3Harris Technologies Inc",1580754,$338360393.7,0.20703,"Aerospace & Defense","US","Common Stock"
,"BTGQCX1","CCI","Crown Castle Inc",3607466,$338308161.48,0.207,"Specialized REITs","US","REIT"
,"2795393","COR","Cencora Inc",1409813,$337015797.65,0.20621,"Health Care Providers & Services","US","Common Stock"
,"2089212","AME","AMETEK Inc",1919254,$335216903.64,0.20511,"Electrical Equipment","US","Common Stock"
,"2769796","FIS","Fidelity National Information Services Inc",4918383,$334056573.36,0.2044,"Financial Services","US","Common Stock"
,"2367026","GIS","General Mills Inc",4722626,$332756227.96,0.2036,"Food Products","US","Common Stock"
,"BHXCF84","DOW","Dow Inc",5833320,$331915908,0.20309,"Chemicals","US","Common Stock"
,"2819118","PRU","Prudential Financial Inc",2981655,$329413244.4,0.20156,"Insurance","US","Common Stock"
,"2262530","RSG","Republic Services Inc",1700262,$325940225.4,0.19943,"Commercial Services & Supplies","US","Common Stock"
,"2807061","CNC","Centene Corp",4446578,$324866988.68,0.19877,"Health Care Providers & Services","US","Common Stock"
,"2511920","LEN","Lennar Corp",2114685,$320628539.7,0.19618,"Household Durables","US","Common Stock"
,"2240202","CMI","Cummins Inc",1131902,$319750995.98,0.19564,"Machinery","US","Common Stock"
,"BK73B42","CTVA","Corteva Inc",5861195,$317266485.35,0.19412,"Chemicals","US","Common Stock"
,"2209106","CL","Colgate-Palmolive Co",3422162,$314565131.04,0.19247,"Household Products","US","Common Stock"
,"BL5GZ82","IR","Ingersoll Rand Inc",3353312,$312931075.84,0.19147,"Machinery","US","Common Stock"
,"2670519","EXC","Exelon Corp",8263968,$310559917.44,0.19002,"Electric Utilities","US","Common Stock"
,"BK531S8","OTIS","Otis Worldwide Corp",3372413,$307564065.6,0.18819,"Machinery","US","Common Stock"
,"2868165","SYY","Sysco Corp",4134928,$307307848.96,0.18803,"Consumer Staples Distribution & Retail","US","Common Stock"
,"2445063","HUM","Humana Inc",1003971,$303289599.39,0.18557,"Health Care Providers & Services","US","Common Stock"
,"B3NQ4P8","KMI","Kinder Morgan Inc",15688054,$286777627.12,0.17547,"Oil, Gas & Consumable Fuels","US","Common Stock"
,"2707677","PEG","Public Service Enterprise Group Inc",4150529,$286718543.32,0.17543,"Multi-Utilities","US","Common Stock"
,"BD3W133","KDP","Keurig Dr Pepper Inc",8432477,$284174474.9,0.17388,"Beverages","US","Common Stock"
,"2779201","SLB","Schlumberger NV",5952586,$282628783.28,0.17293,"Energy Equipment & Services","US","Common Stock"
,"2310194","EA","Electronic Arts Inc",2220504,$281604317.28,0.1723,"Entertainment","US","Common Stock"
,"2740542","ACGL","Arch Capital Group Ltd",2947860,$275742824.4,0.16872,"Insurance","US","Common Stock"
,"BL6JPG8","GEHC","GE HealthCare Technologies Inc",3595927,$274153474.48,0.16775,"Health Care Equipment & Supplies","US","Common Stock"
,"2480677","DVN","Devon Energy Corp",5324901,$272528433.18,0.16675,"Oil, Gas & Consumable Fuels","US","Common Stock"
,"2257019","CTSH","Cognizant Technology Solutions Corp",4137545,$271753955.6,0.16628,"IT Services","US","Common Stock"
,"2216850","ED","Consolidated Edison Inc",2869289,$270860881.6,0.16573,"Multi-Utilities","US","Common Stock"
,"BQ84ZQ6","KVUE","Kenvue Inc",14320657,$269514764.74,0.16491,"Personal Care Products","US","Common Stock"
,"BBM5MD6","CDW","CDW Corp/DE",1114002,$269432523.72,0.16486,"Electronic Equipment, Instruments & Components","US","Common Stock"
,"B1W9D46","DAL","Delta Air Lines Inc",5348844,$267816619.08,0.16387,"Passenger Airlines","US","Common Stock"
,"B1YLC43","DFS","Discover Financial Services",2078587,$263419330.51,0.16118,"Consumer Finance","US","Common Stock"
,"2712013","GPN","Global Payments Inc",2140591,$262800357.07,0.1608,"Financial Services","US","Common Stock"
,"B3P2CN8","XYL","Xylem Inc/NY",2004780,$262024746,0.16032,"Machinery","US","Common Stock"
,"2047317","ADM","Archer-Daniels-Midland Co",4433645,$260077615.7,0.15913,"Food Products","US","Common Stock"
,"2455965","BIIB","Biogen Inc",1208327,$259572806.14,0.15882,"Biotechnology","US","Common Stock"
,"B5B1S13","DG","Dollar General Corp",1824561,$253960645.59,0.15539,"Consumer Staples Distribution & Retail","US","Common Stock"
,"BYRY499","KHC","Kraft Heinz Co/The",6555603,$253111831.83,0.15487,"Food Products","US","Common Stock"
,"2698470","PPG","PPG Industries Inc",1956284,$252360636,0.15441,"Chemicals","US","Common Stock"
,"BHKD3S6","DELL","Dell Technologies Inc",2000894,$249391428.16,0.15259,"Technology Hardware, Storage & Peripherals","US","Common Stock"
,"2614807","XEL","Xcel Energy Inc",4612335,$247820759.55,0.15163,"Electric Utilities","US","Common Stock"
,"BYWH073","VICI","VICI Properties Inc",8587208,$245164788.4,0.15001,"Specialized REITs","US","REIT"
,"2497406","KR","Kroger Co/The",4383488,$242757565.44,0.14853,"Consumer Staples Distribution & Retail","US","Common Stock"
,"2476193","HIG","Hartford Financial Services Group Inc/The",2478558,$240147484.62,0.14694,"Insurance","US","Common Stock"
,"2955733","WAB","Westinghouse Air Brake Technologies Corp",1471195,$236980090.6,0.145,"Machinery","US","Common Stock"
,"2093666","BRK/A","Berkshire Hathaway Inc",395,$236802503.95,0.14489,"Financial Services","US","Common Stock"
,"B02HWR9","EXR","Extra Space Storage Inc",1756261,$235830727.08,0.1443,"Specialized REITs","US","REIT"
,"B5BKPQ4","MSI","Motorola Solutions Inc",690638,$234229877.7,0.14332,"Communications Equipment","US","Common Stock"
,"BKLJ8V2","HWM","Howmet Aerospace Inc",3409967,$227615297.25,0.13927,"Aerospace & Defense","US","Common Stock"
,"2829515","EIX","Edison International",3188044,$226542406.64,0.13861,"Electric Utilities","US","Common Stock"
,"BK0VN47","DD","DuPont de Nemours Inc",3123594,$226460565,0.13856,"Chemicals","US","Common Stock"
,"2131179","AVB","AvalonBay Communities Inc",1181074,$223896198.18,0.13699,"Residential REITs","US","REIT"
,"2293819","EBAY","eBay Inc",4312921,$222287948.34,0.13601,"Broadline Retail","US","Common Stock"
,"BYX4D52","HPQ","HP Inc",7821923,$219717817.07,0.13444,"Technology Hardware, Storage & Peripherals","US","Common Stock"
,"BYT3MK1","FTV","Fortive Corp",2915628,$219459319.56,0.13428,"Machinery","US","Common Stock"
,"BYY8XK8","WEC","WEC Energy Group Inc",2621978,$216680261.92,0.13258,"Multi-Utilities","US","Common Stock"
,"B3SPXZ3","LYB","LyondellBasell Industries NV",2157478,$215683075.66,0.13197,"Chemicals","US","Common Stock"
,"BQZJ0Q9","KEYS","Keysight Technologies Inc",1453482,$215028127.08,0.13157,"Electronic Equipment, Instruments & Components","US","Common Stock"
,"2965107","NDAQ","Nasdaq Inc",3585867,$214614139.95,0.13131,"Capital Markets","US","Common Stock"
,"BDB6Q21","WTW","Willis Towers Watson PLC",851694,$213894431.16,0.13087,"Insurance","US","Common Stock"
,"2224701","GLW","Corning Inc",6381785,$213023983.3,0.13034,"Electronic Equipment, Instruments & Components","US","Common Stock"
,"B6WVMH3","CBRE","CBRE Group Inc",2413261,$209688248.29,0.1283,"Real Estate Management & Development","US","Common Stock"
,"2783815","ZBH","Zimmer Biomet Holdings Inc",1736459,$208861288.52,0.1278,"Health Care Equipment & Supplies","US","Common Stock"
,"2278407","DOV","Dover Corp",1162400,$208418320,0.12752,"Machinery","US","Common Stock"
,"2175672","CAH","Cardinal Health Inc",2021457,$208290929.28,0.12745,"Health Care Providers & Services","US","Common Stock"
,"2592174","MCHP","Microchip Technology Inc",2244186,$206420228.28,0.1263,"Semiconductors & Semiconductor Equipment","US","Common Stock"
,"2336747","FITB","Fifth Third Bancorp",5658921,$206324259.66,0.12624,"Banks","US","Common Stock"
,"2702337","TROW","T Rowe Price Group Inc",1858174,$203600125.18,0.12458,"Capital Markets","US","Common Stock"
,"2272476","DLTR","Dollar Tree Inc",1720052,$203396149,0.12445,"Consumer Staples Distribution & Retail","US","Common Stock"
,"BZ6VT82","CHTR","Charter Communications Inc",784246,$200719921.24,0.12281,"Media","US","Common Stock"
,"2340168","MTB","M&T Bank Corp",1385711,$200082811.29,0.12242,"Banks","US","Common Stock"
,"B2R3PV1","AWK","American Water Works Co Inc",1618770,$198007946.4,0.12115,"Water Utilities","US","Common Stock"
,"2708841","PHM","PulteGroup Inc",1762277,$196352903.34,0.12014,"Household Durables","US","Common Stock"
,"2319157","EQR","Equity Residential",2992727,$192731618.8,0.11793,"Residential REITs","US","REIT"
,"2954699","WDC","Western Digital Corp",2706229,$191682200.07,0.11728,"Technology Hardware, Storage & Peripherals","US","Common Stock"
,"2724193","O","Realty Income Corp",3574694,$191389116.76,0.1171,"Retail REITs","US","REIT"
,"2718992","RJF","Raymond James Financial Inc",1562753,$190655866,0.11666,"Capital Markets","US","Common Stock"
,"2317087","ETR","Entergy Corp",1767444,$188533251.48,0.11536,"Electric Utilities","US","Common Stock"
,"BVFTF03","IRM","Iron Mountain Inc",2427500,$188179800,0.11514,"Specialized REITs","US","REIT"
,"2637785","NVR","NVR Inc",25182,$187325120.7,0.11462,"Household Durables","US","Common Stock"
,"B3Z5T14","GRMN","Garmin Ltd",1274412,$184114301.64,0.11265,"Household Durables","US","Common Stock"
,"BYVYWS0","HPE","Hewlett Packard Enterprise Co",10794644,$183508948,0.11228,"Technology Hardware, Storage & Peripherals","US","Common Stock"
,"2958936","WY","Weyerhaeuser Co",6060176,$182835509.92,0.11187,"Specialized REITs","US","REIT"
,"2073022","BALL","Ball Corp",2620763,$182326481.91,0.11156,"Containers & Packaging","US","Common Stock"
,"2367480","GPC","Genuine Parts Co",1158401,$182112221.21,0.11143,"Distributors","US","Common Stock"
,"2464165","IFF","International Flavors & Fragrances Inc",2119914,$179450720.1,0.1098,"Chemicals","US","Common Stock"
,"BVVN4Q8","ES","Eversource Energy",2898571,$175711374.02,0.10751,"Electric Utilities","US","Common Stock"
,"2630643","NTAP","NetApp Inc",1710460,$174826116.6,0.10697,"Technology Hardware, Storage & Peripherals","US","Common Stock"
,"BDR73G1","IQV","IQVIA Holdings Inc",753479,$174633827.83,0.10685,"Life Sciences Tools & Services","US","Common Stock"
,"2100920","FE","FirstEnergy Corp",4531137,$173723792.58,0.1063,"Electric Utilities","US","Common Stock"
,"2842040","STT","State Street Corp",2381329,$172622539.21,0.10562,"Capital Markets","US","Common Stock"
,"BMX5GK7","CPAY","Corpay Inc",569060,$171935788.4,0.1052,"Financial Services","US","Common Stock"
,"2852533","PSA","Public Storage",656810,$170409354.5,0.10427,"Specialized REITs","US","REIT"
,"2085102","BAX","Baxter International Inc",4216072,$170202826.64,0.10414,"Health Care Equipment & Supplies","US","Common Stock"
,"2009210","ARE","Alexandria Real Estate Equities Inc",1452777,$168333270.99,0.103,"Office REITs","US","REIT"
,"2680905","PPL","PPL Corp",6118471,$168013213.66,0.1028,"Electric Utilities","US","Common Stock"
,"2212706","MOH","Molina Healthcare Inc",485044,$165933552.4,0.10153,"Health Care Providers & Services","US","Common Stock"
,"BP6H4Y1","GEV","GE Vernova Inc",1076736,$165505090.56,0.10127,"Electrical Equipment","US","Common Stock"
,"BD81GW9","INVH","Invitation Homes Inc",4826677,$165072353.4,0.101,"Residential REITs","US","REIT"
,"2445966","HBAN","Huntington Bancshares Inc/OH",12024409,$161968789.23,0.0991,"Banks","US","Common Stock"
,"2050832","AEE","Ameren Corp",2182124,$161193499.88,0.09863,"Multi-Utilities","US","Common Stock"
,"2280220","DTE","DTE Energy Co",1454179,$160425027.28,0.09816,"Multi-Utilities","US","Common Stock"
,"2550161","MKC","McCormick & Co Inc/MD",2086872,$158727484.32,0.09712,"Food Products","US","Common Stock"
,"B5834C5","CBOE","Cboe Global Markets Inc",876012,$158689573.8,0.0971,"Capital Markets","US","Common Stock"
,"2803014","PFG","Principal Financial Group Inc",1957812,$154941241.68,0.0948,"Insurance","US","Common Stock"
,"2279303","OMC","Omnicom Group Inc",1642902,$152527021.68,0.09333,"Media","US","Common Stock"
,"2204026","CLX","Clorox Co/The",1029821,$152279631.27,0.09317,"Household Products","US","Common Stock"
,"2440637","CNP","CenterPoint Energy Inc",5222871,$152194460.94,0.09312,"Multi-Utilities","US","Common Stock"
,"2289874","DRI","Darden Restaurants Inc",990749,$151990804.09,0.093,"Hotels, Restaurants & Leisure","US","Common Stock"
,"2566436","MKL","Markel Group Inc",103442,$150859812.8,0.09231,"Insurance","US","Common Stock"
,"2196888","CINF","Cincinnati Financial Corp",1301886,$150615191.34,0.09216,"Insurance","US","Common Stock"
,"2572079","MLM","Martin Marietta Materials Inc",256213,$150414965.91,0.09203,"Construction Materials","US","Common Stock"
,"BNGC0D3","J","Jacobs Solutions Inc",1042633,$149649114.49,0.09157,"Professional Services","US","Common Stock"
,"B01R311","RF","Regions Financial Corp",7717517,$148716552.59,0.09099,"Banks","US","Common Stock"
,"BP96PS6","SYF","Synchrony Financial",3372862,$148338470.76,0.09076,"Consumer Finance","US","Common Stock"
,"2927925","VTR","Ventas Inc",3338269,$147818551.32,0.09045,"Health Care REITs","US","REIT"
,"2433530","HOLX","Hologic Inc",1947288,$147546011.76,0.09028,"Health Care Equipment & Supplies","US","Common Stock"
,"2219224","CMS","CMS Energy Corp",2419385,$146638924.85,0.08972,"Multi-Utilities","US","Common Stock"
