 (MGV) , , ,  
Holding details,2024-04-30
 
Stocks holdings 
 ,SEDOL,Ticker,Holdings name,Shares,Market value,% of fund*,Sector,Market,Security depository receipt type
,"BDZ78H9","AVGO","Broadcom Inc",218866,$284584893.82,3.92146,"Semiconductors & Semiconductor Equipment","US","Common Stock"
,"2073390","BRK/B","Berkshire Hathaway Inc",697787,$276833036.51,3.81464,"Financial Services","US","Common Stock"
,"2190385","JPM","JPMorgan Chase & Co",1346602,$258197467.48,3.55785,"Banks","US","Common Stock"
,"2326618","XOM","Exxon Mobil Corp",1856423,$219559148.21,3.02543,"Oil, Gas & Consumable Fuels","US","Common Stock"
,"2917766","UNH","UnitedHealth Group Inc",432455,$209178483.5,2.88239,"Health Care Providers & Services","US","Common Stock"
,"2704407","PG","Procter & Gamble Co/The",1099970,$179515104,2.47364,"Household Products","US","Common Stock"
,"2475833","JNJ","Johnson & Johnson",1126118,$162825401.62,2.24366,"Pharmaceuticals","US","Common Stock"
,"2434209","HD","Home Depot Inc/The",465320,$155519250.4,2.14299,"Specialty Retail","US","Common Stock"
,"2778844","MRK","Merck & Co Inc",1184684,$153084866.48,2.10944,"Pharmaceuticals","US","Common Stock"
,"2838555","CVX","Chevron Corp",838418,$135211670.86,1.86316,"Oil, Gas & Consumable Fuels","US","Common Stock"
,"B92SR70","ABBV","AbbVie Inc",825783,$134305347.12,1.85067,"Biotechnology","US","Common Stock"
,"2936921","WMT","Walmart Inc",2076543,$123242827.05,1.69823,"Consumer Staples Distribution & Retail","US","Common Stock"
,"2295677","BAC","Bank of America Corp",3128777,$115796036.77,1.59562,"Banks","US","Common Stock"
,"2681511","PEP","PepsiCo Inc",642499,$113021999.09,1.55739,"Beverages","US","Common Stock"
,"2206657","KO","Coca-Cola Co/The",1814171,$112061342.67,1.54416,"Beverages","US","Common Stock"
,"2886907","TMO","Thermo Fisher Scientific Inc",178286,$101394813.92,1.39718,"Life Sciences Tools & Services","US","Common Stock"
,"2649100","WFC","Wells Fargo & Co",1672586,$99217801.52,1.36718,"Banks","US","Common Stock"
,"2661568","ORCL","Oracle Corp",771070,$87709212.5,1.20859,"Software","US","Common Stock"
,"2714923","QCOM","QUALCOMM Inc",521754,$86532900.9,1.19239,"Semiconductors & Semiconductor Equipment","US","Common Stock"
,"2002305","ABT","Abbott Laboratories",811310,$85974520.7,1.18469,"Health Care Equipment & Supplies","US","Common Stock"
,"2198163","CSCO","Cisco Systems Inc",1703561,$80033295.78,1.10282,"Communications Equipment","US","Common Stock"
